vendorID,tpepPickupDateTime,tpepDropoffDateTime,passengerCount,tripDistance,puLocationId,doLocationId,startLon,startLat,endLon,endLat,rateCodeId,storeAndFwdFlag,paymentType,fareAmount,extra,mtaTax,improvementSurcharge,tipAmount,tollsAmount,totalAmount
VTS,2009-09-30T23:57:00.0000000,2009-10-01T00:06:00.0000000,2,2.42,,,-73.988698,40.73517,-73.967122,40.75665,,,CASH,7.7,0.5,,,0,0,8.2
VTS,2009-10-09T09:34:00.0000000,2009-10-09T09:37:00.0000000,6,0.63,,,-73.96565,40.76294,-73.959633,40.770912,,,CASH,4.1,0,,,0,0,4.1
VTS,2009-09-30T23:44:00.0000000,2009-10-01T00:01:00.0000000,5,5.08,,,-73.993165,40.751707,-73.939918,40.794638,,,CASH,13.7,0.5,,,0,0,14.2
VTS,2009-10-11T03:17:00.0000000,2009-10-11T03:20:00.0000000,1,1.53,,,-73.968362,40.755148,-73.982205,40.736062,,,CASH,5.3,0.5,,,0,0,5.8
VTS,2009-09-30T23:49:00.0000000,2009-10-01T00:11:00.0000000,5,6.61,,,-73.97864,40.785688,-74.012063,40.707352,,,Credit,19.3,0.5,,,2.8,0,22.6
VTS,2009-10-06T11:45:00.0000000,2009-10-06T11:57:00.0000000,1,1.33,,,-73.959738,40.776797,-73.973623,40.763425,,,CASH,8.1,0,,,0,0,8.1
CMT,2009-09-30T23:41:45.0000000,2009-10-01T00:02:39.0000000,1,6.4,,,-74.000853,40.730926,-73.97766,40.78533,,0,Credit,18.5,0,,,3.8,0,22.3
VTS,2009-10-03T16:14:00.0000000,2009-10-03T16:33:00.0000000,1,4.48,,,-73.962145,40.805352,-73.970882,40.75558,,,CASH,14.1,0,,,0,0,14.1
VTS,2009-09-30T23:59:00.0000000,2009-10-01T00:04:00.0000000,1,1.01,,,-73.981468,40.744347,-73.96674,40.742693,,,CASH,4.9,0.5,,,0,0,5.4
VTS,2009-10-15T17:16:00.0000000,2009-10-15T18:01:00.0000000,1,10.9,,,-73.984393,40.751085,-73.870828,40.773948,,,CASH,27.7,1,,,0,4.57,33.27
CMT,2009-09-30T23:42:12.0000000,2009-10-01T00:03:37.0000000,1,7.4,,,-73.987944,40.719979,-73.942503,40.672959,,0,Cash,19.7,0,,,0,0,19.7
CMT,2009-10-19T13:08:07.0000000,2009-10-19T13:17:16.0000000,1,1.2,,,-73.952742,40.772637,-73.96621,40.768029,,0,Cash,6.9,0,0,,0,0,6.9
CMT,2009-09-30T23:55:52.0000000,2009-10-01T00:03:55.0000000,1,1.7,,,-73.998405,40.724705,-73.98424,40.737233,,0,Cash,6.9,0,,,0,0,6.9
CMT,2009-10-05T12:24:44.0000000,2009-10-05T12:31:32.0000000,1,0.9,,,-73.958052,40.776273,-73.966683,40.764424,,0,Credit,5.7,0,,,0.85,0,6.55
VTS,2009-09-30T23:55:00.0000000,2009-10-01T00:04:00.0000000,1,1.18,,,-73.98958,40.719138,-74.002347,40.729122,,,CASH,6.5,0.5,,,0,0,7
VTS,2009-10-22T19:17:00.0000000,2009-10-22T19:36:00.0000000,1,1.77,,,-73.960728,40.77551,-73.975795,40.752422,,,CASH,10.9,1,,,0,0,11.9
VTS,2009-09-30T23:53:00.0000000,2009-10-01T00:07:00.0000000,5,4.98,,,-73.96997,40.793297,-73.981893,40.74154,,,CASH,13.3,0.5,,,0,0,13.8
CMT,2009-10-12T00:03:23.0000000,2009-10-12T00:27:03.0000000,1,16.5,,,-73.786,40.64148,-73.961097,40.760778,,0,Cash,45,0,,,0,0,45
VTS,2009-09-30T23:43:00.0000000,2009-10-01T00:07:00.0000000,1,5.51,,,-73.987065,40.746098,-73.94799,40.71597,,,Credit,15.3,0.5,,,3.95,0,19.75
CMT,2009-10-25T19:45:36.0000000,2009-10-25T19:52:17.0000000,1,1.1,,,-73.948854,40.777332,-73.957041,40.769182,,0,Cash,5.7,0,0,,0,0,5.7
CMT,2009-09-30T23:53:26.0000000,2009-10-01T00:05:55.0000000,1,2.7,,,-74.006112,40.741161,-73.991206,40.744721,,0,Credit,9.7,0,,,1,0,10.7
VTS,2009-10-06T18:44:00.0000000,2009-10-06T18:47:00.0000000,3,0.54,,,-73.966695,40.757587,-73.962398,40.759163,,,Credit,3.7,1,,,1,0,5.7
CMT,2009-09-30T23:41:18.0000000,2009-10-01T00:01:12.0000000,1,3.7,,,-74.004539,40.742231,-73.98394,40.774731,,0,Credit,13.3,0,,,2,0,15.3
CMT,2009-10-07T17:50:13.0000000,2009-10-07T18:01:25.0000000,1,2.2,,,-74.005899,40.745326,-73.977351,40.752913,,0,Cash,8.5,0,,,0,0,8.5
CMT,2009-09-30T23:44:17.0000000,2009-10-01T00:10:08.0000000,2,11.7,,,-73.865389,40.770943,-73.992474,40.761015,,0,Credit,28.1,0,,,5,4.57,37.67
CMT,2009-10-30T22:32:40.0000000,2009-10-30T22:45:52.0000000,1,1.7,,,-74.005479,40.736796,-73.985561,40.723462,,0,Credit,8.5,0.5,0,,1,0,10
CMT,2009-09-30T23:52:22.0000000,2009-10-01T00:17:46.0000000,2,10,,,-73.97599,40.766267,-73.867641,40.767862,,0,Cash,24.9,0,,,0,0,24.9
CMT,2009-10-05T11:49:54.0000000,2009-10-05T12:04:22.0000000,1,2.1,,,-73.983607,40.752877,-73.96646,40.773288,,0,Cash,9.7,0,,,0,0,9.7
VTS,2009-09-30T23:56:00.0000000,2009-10-01T00:12:00.0000000,1,5.44,,,-73.974175,40.784095,-73.955145,40.735755,,,CASH,14.5,0.5,,,0,0,15
VTS,2009-10-23T14:00:00.0000000,2009-10-23T14:07:00.0000000,1,0.54,,,-73.972422,40.759568,-73.980113,40.756008,,,CASH,5.3,0,,,0,0,5.3
VTS,2009-09-30T23:56:00.0000000,2009-10-01T00:03:00.0000000,1,1.26,,,-73.985768,40.740917,-73.986983,40.738343,,,Credit,5.7,0.5,,,2,0,8.2
VTS,2009-10-29T13:33:00.0000000,2009-10-29T13:37:00.0000000,1,0.08,,,-73.957492,40.780527,-73.963125,40.770587,,,CASH,4.5,0,,,0,0,4.5
VTS,2009-09-30T23:58:00.0000000,2009-10-01T00:12:00.0000000,2,2.41,,,-73.961227,40.761188,-73.992768,40.76324,,,CASH,9.3,0.5,,,0,0,9.8
VTS,2009-10-31T15:56:00.0000000,2009-10-31T16:03:00.0000000,1,1.58,,,-73.96885,40.770242,-73.980087,40.783248,,,CASH,6.5,0,,,0,0,6.5
VTS,2009-09-30T23:53:00.0000000,2009-10-01T00:09:00.0000000,5,5.02,,,-73.984378,40.755508,-73.944695,40.800215,,,Credit,14.1,0.5,,,2,0,16.6
CMT,2009-10-06T21:37:20.0000000,2009-10-06T21:43:32.0000000,2,1.1,,,-73.976836,40.751832,-73.991923,40.750122,,0,Cash,5.3,0,,,0,0,5.3
VTS,2009-09-30T23:58:00.0000000,2009-10-01T00:12:00.0000000,1,5.09,,,-73.992982,40.672393,-73.965878,40.622223,,,CASH,14.5,0.5,,,0,0,15
CMT,2009-10-27T21:18:30.0000000,2009-10-27T21:29:07.0000000,1,1.3,,,-74.046585,40.730759,-74.046585,40.730759,,0,Cash,7.3,0.5,0,,0,0,7.8
CMT,2009-09-30T23:57:34.0000000,2009-10-01T00:41:23.0000000,1,12.5,,,-73.98232,40.751611,-74.027461,40.629017,,0,Cash,35.3,0,,,0,0,35.3
VTS,2009-10-14T18:58:00.0000000,2009-10-14T19:06:00.0000000,2,2.77,,,-73.99713,40.717765,-73.976282,40.682298,,,CASH,8.9,1,,,0,0,9.9
VTS,2009-09-30T23:57:00.0000000,2009-10-01T00:02:00.0000000,2,1.14,,,-73.988557,40.764445,-73.98909,40.773223,,,CASH,5.7,0.5,,,0,0,6.2
CMT,2009-10-03T11:30:09.0000000,2009-10-03T11:57:16.0000000,2,14.7,,,-73.863331,40.769699,-74.010219,40.650504,,0,Cash,33.3,0,,,0,0,33.3
CMT,2009-09-30T23:46:35.0000000,2009-10-01T00:10:15.0000000,2,5.7,,,-73.986675,40.748044,-73.914318,40.760007,,0,Cash,16.9,0,,,0,0,16.9
CMT,2009-10-02T04:13:04.0000000,2009-10-02T04:35:18.0000000,1,10.4,,,-73.990131,40.751207,-74.028168,40.637876,,0,Credit,24.9,0,,,6.5,4.57,35.97
CMT,2009-09-30T23:53:28.0000000,2009-10-01T00:00:08.0000000,2,1.7,,,-74.002551,40.750149,-73.977953,40.751403,,0,Cash,6.5,0,,,0,0,6.5
CMT,2009-10-22T10:58:29.0000000,2009-10-22T11:32:18.0000000,2,11.1,,,-73.870887,40.773755,-73.984518,40.759657,,0,Cash,28.5,0,0,,0,4.57,33.07
DDS,2009-09-30T23:56:49.0000000,2009-10-01T00:05:29.0000000,1,2.8,,,-73.984334,40.737409,-73.95605,40.769447,,,CASH,8.5,0.5,,,0,0,9
CMT,2009-10-12T19:37:43.0000000,2009-10-12T19:40:59.0000000,1,0.9,,,-73.973323,40.784962,-73.98143,40.773903,,0,Credit,4.5,0,,,1,0,5.5
VTS,2009-09-30T23:37:00.0000000,2009-10-01T00:00:00.0000000,5,10.42,,,-73.863165,40.76976,-73.97524,40.777053,,,Credit,24.5,0.5,,,4,4.57,33.57
CMT,2009-10-31T10:03:30.0000000,2009-10-31T10:10:01.0000000,3,1.8,,,-74.015878,40.71492,-74.003741,40.70587,,0,Credit,6.9,0,0,,1.03,0,7.93
CMT,2009-09-30T23:56:39.0000000,2009-10-01T00:22:16.0000000,2,10.4,,,-73.981483,40.74983,-73.969675,40.759793,,0,Cash,25.7,0,,,0,0,25.7
VTS,2009-10-26T14:56:00.0000000,2009-10-26T15:07:00.0000000,2,1.48,,,-73.993515,40.749653,-73.982898,40.764545,,,CASH,7.3,0,,,0,0,7.3
VTS,2009-09-30T23:38:00.0000000,2009-10-01T00:00:00.0000000,2,8.85,,,-73.971622,40.747803,-73.853355,40.728077,,,CASH,21.7,0.5,,,0,0,22.2
CMT,2009-10-08T18:06:42.0000000,2009-10-08T18:29:43.0000000,1,4.6,,,-73.996607,40.742688,-73.993685,40.687004,,0,Cash,14.9,0,,,0,0,14.9
VTS,2009-09-30T23:54:00.0000000,2009-10-01T00:02:00.0000000,5,2,,,-73.98086,40.74141,-73.999792,40.725973,,,CASH,6.9,0.5,,,0,0,7.4
VTS,2009-10-31T20:17:00.0000000,2009-10-31T20:38:00.0000000,1,3.51,,,-73.94209,40.790483,-73.98159,40.763968,,,Credit,12.5,0.5,,,0,0,13
VTS,2009-09-30T23:57:00.0000000,2009-10-01T00:17:00.0000000,1,5.59,,,-74.001212,40.736742,-73.950072,40.682635,,,CASH,16.5,0.5,,,0,0,17
CMT,2009-10-20T14:30:03.0000000,2009-10-20T14:40:50.0000000,1,2.1,,,-73.976895,40.758464,-73.993305,40.732293,,0,Cash,8.1,0,0,,0,0,8.1
VTS,2009-09-30T23:58:00.0000000,2009-10-01T00:07:00.0000000,1,1.93,,,-73.984793,40.743078,-73.966288,40.762232,,,CASH,7.3,0.5,,,0,0,7.8
CMT,2009-10-23T13:38:27.0000000,2009-10-23T14:02:15.0000000,1,7.2,,,-74.00473,40.725774,-73.958507,40.808019,,0,Cash,20.1,0,0,,0,0,20.1
CMT,2009-09-30T23:58:07.0000000,2009-10-01T00:12:45.0000000,1,4.7,,,-73.981626,40.75739,-73.941125,40.807726,,0,Credit,12.5,0,,,1.95,0,14.45
CMT,2009-10-04T17:47:59.0000000,2009-10-04T18:03:31.0000000,1,4.4,,,-73.782469,40.644664,-73.779992,40.666495,,0,Cash,13.7,0,,,0,0,13.7
VTS,2009-09-30T23:59:00.0000000,2009-10-01T00:01:00.0000000,5,0.58,,,-73.994417,40.74076,-73.986213,40.740188,,,CASH,3.7,0.5,,,0,0,4.2
CMT,2009-10-05T20:11:37.0000000,2009-10-05T20:30:54.0000000,1,4.3,,,-73.9735,40.758154,-74.010986,40.716288,,0,Credit,13.3,0,,,1.55,0,14.85
CMT,2009-09-30T23:51:47.0000000,2009-10-01T00:01:14.0000000,1,2.3,,,-73.980136,40.759945,-73.95303,40.776575,,0,Cash,8.5,0,,,0,0,8.5
CMT,2009-10-02T01:41:57.0000000,2009-10-02T01:50:33.0000000,1,1.6,,,-74.0058,40.74031,-73.98425,40.728924,,0,Cash,7.3,0,,,0,0,7.3
CMT,2009-09-30T23:59:40.0000000,2009-10-01T00:14:18.0000000,1,4.6,,,-73.975087,40.752684,-73.982552,40.694658,,0,Cash,13.3,0,,,0,0,13.3
VTS,2009-10-02T09:13:00.0000000,2009-10-02T09:19:00.0000000,1,0.51,,,-73.958918,40.778145,-73.954468,40.773175,,,CASH,4.9,0,,,0,0,4.9
CMT,2009-09-30T23:57:49.0000000,2009-10-01T00:00:41.0000000,1,0.7,,,-73.99372,40.727039,-73.983483,40.728363,,0,Cash,4.1,0,,,0,0,4.1
CMT,2009-10-29T23:31:25.0000000,2009-10-29T23:40:47.0000000,1,2.1,,,-73.988771,40.729835,-74.008593,40.707904,,0,Cash,7.7,0.5,0,,0,0,8.2
VTS,2009-09-30T23:41:00.0000000,2009-10-01T00:07:00.0000000,1,6.21,,,-73.964487,40.807375,-73.979682,40.744948,,,CASH,18.9,0.5,,,0,0,19.4
CMT,2009-10-06T21:59:04.0000000,2009-10-06T21:59:24.0000000,1,0,,,-74.030582,40.7382,-74.030582,40.7382,,0,No Charge,90,0,,,0,0.14,90.14
VTS,2009-09-30T23:54:00.0000000,2009-10-01T00:05:00.0000000,1,5.06,,,-73.952397,40.7479,-73.986882,40.719428,,,CASH,13.3,0.5,,,0,0,13.8
CMT,2009-10-01T19:33:20.0000000,2009-10-01T19:53:31.0000000,1,1.6,,,-73.974719,40.758967,-73.996174,40.763939,,0,Cash,10.9,0,,,0,0,10.9
VTS,2009-09-30T23:55:00.0000000,2009-10-01T00:25:00.0000000,1,12.39,,,-73.959895,40.798373,-73.99,40.672805,,,CASH,30.5,0.5,,,0,0,31
VTS,2009-10-02T23:08:00.0000000,2009-10-02T23:15:00.0000000,1,0.99,,,-73.977337,40.752143,-73.991455,40.750248,,,CASH,6.1,0.5,,,0,0,6.6
CMT,2009-09-30T23:59:06.0000000,2009-10-01T00:03:42.0000000,1,1.1,,,-73.981654,40.743869,-73.995696,40.737703,,1,Cash,4.9,0,,,0,0,4.9
VTS,2009-10-09T20:18:00.0000000,2009-10-09T20:25:00.0000000,1,0.67,,,-73.989098,40.749728,-73.990273,40.756178,,,CASH,5.7,0.5,,,0,0,6.2
VTS,2009-09-30T23:56:00.0000000,2009-10-01T00:01:00.0000000,1,1.29,,,0,0,0,0,,,Credit,5.3,0.5,,,1,0,6.8
CMT,2009-10-07T04:21:44.0000000,2009-10-07T04:24:11.0000000,1,0.8,,,-73.983803,40.721561,-73.993982,40.720331,,0,Cash,4.1,0,,,0,0,4.1
VTS,2009-09-30T23:31:00.0000000,2009-10-01T00:07:00.0000000,2,9.76,,,-73.990207,40.68959,-74.035368,40.634455,,,CASH,28.5,0.5,,,0,0,29
VTS,2009-10-04T01:10:00.0000000,2009-10-04T01:19:00.0000000,2,4.96,,,-74.004745,40.708412,-73.976835,40.752178,,,CASH,12.9,0.5,,,0,0,13.4
VTS,2009-09-30T23:42:00.0000000,2009-10-01T00:05:00.0000000,1,5.96,,,-73.991022,40.755462,-73.905988,40.764207,,,CASH,17.7,0.5,,,0,0,18.2
VTS,2009-10-08T07:50:00.0000000,2009-10-08T07:57:00.0000000,4,1.49,,,-73.975502,40.755485,-73.97307,40.76215,,,CASH,6.1,0,,,0,0,6.1
VTS,2009-09-30T23:53:00.0000000,2009-10-01T00:05:00.0000000,1,4.46,,,-73.982922,40.726663,-73.994317,40.697657,,,Credit,12.5,0.5,,,2,0,15
CMT,2009-10-18T12:00:00.0000000,2009-10-18T12:03:39.0000000,1,1.1,,,-73.961078,40.760977,-73.952335,40.775568,,0,Cash,4.9,0,,,0,0,4.9
VTS,2009-09-30T23:54:00.0000000,2009-10-01T00:00:00.0000000,5,2.01,,,-73.988157,40.759815,-73.978632,40.782247,,,CASH,6.5,0.5,,,0,0,7
CMT,2009-10-13T07:21:49.0000000,2009-10-13T07:49:01.0000000,1,6.1,,,-73.995547,40.688139,-73.979277,40.736091,,0,Cash,19.3,0,,,0,0,19.3
VTS,2009-09-30T23:55:00.0000000,2009-10-01T00:01:00.0000000,5,1.46,,,-73.981643,40.770015,-73.965443,40.77053,,,Credit,6.1,0.5,,,2,0,8.6
VTS,2009-10-10T23:57:00.0000000,2009-10-11T00:11:00.0000000,1,3.01,,,-74.00237,40.734365,-73.975865,40.762235,,,CASH,10.1,0.5,,,0,0,10.6
VTS,2009-09-30T23:49:00.0000000,2009-10-01T00:01:00.0000000,1,1.53,,,-73.966465,40.757698,-73.987777,40.765393,,,CASH,8.1,0.5,,,0,0,8.6
CMT,2009-10-09T15:15:18.0000000,2009-10-09T15:21:53.0000000,4,1.2,,,-74.002254,40.714985,-74.011303,40.703271,,0,Credit,6.1,0,,,1.22,0,7.32
CMT,2009-09-30T23:59:32.0000000,2009-10-01T00:09:03.0000000,1,2.4,,,-73.97176,40.762669,-73.994878,40.739254,,0,Cash,8.5,0,,,0,0,8.5
CMT,2009-10-24T06:37:36.0000000,2009-10-24T06:45:08.0000000,2,4.3,,,-73.976444,40.785947,-73.944698,40.834795,,0,Cash,11.3,0,0,,0,0,11.3
CMT,2009-09-30T23:46:51.0000000,2009-10-01T00:03:16.0000000,1,5,,,-74.017744,40.709358,-73.980558,40.764867,,0,Cash,14.5,0,,,0,0,14.5
VTS,2009-10-05T09:37:00.0000000,2009-10-05T10:05:00.0000000,2,7.49,,,-73.95477,40.769073,-73.990767,40.696148,,,Credit,21.7,0,,,2.3,0,24
CMT,2009-09-30T23:59:22.0000000,2009-10-01T00:02:54.0000000,1,0.8,,,-73.996752,40.742049,-73.996752,40.742049,,0,Cash,4.5,0,,,0,0,4.5
DDS,2009-10-10T18:21:19.0000000,2009-10-10T18:35:48.0000000,1,4.6,,,-73.982273,40.731867,-73.973793,40.782954,,,CASH,12.9,0,,,0,0,12.9
VTS,2009-09-30T23:31:00.0000000,2009-10-01T00:01:00.0000000,1,9.59,,,-73.982287,40.762143,-73.990167,40.66878,,,Credit,25.3,0.5,,,5.16,0,30.96
CMT,2009-10-10T02:17:30.0000000,2009-10-10T02:23:21.0000000,4,0.8,,,-73.999102,40.727781,-73.988156,40.722651,,0,Cash,4.9,0,,,0,0,4.9
VTS,2009-09-30T23:52:00.0000000,2009-10-01T00:09:00.0000000,2,5.61,,,-73.991905,40.74964,-73.997643,40.683687,,,CASH,15.3,0.5,,,0,0,15.8
VTS,2009-10-17T08:50:00.0000000,2009-10-17T09:08:00.0000000,5,3.95,,,-73.991908,40.750062,-73.948808,40.773547,,,CASH,12.9,0,,,0,0,12.9
VTS,2009-09-30T23:56:00.0000000,2009-10-01T00:17:00.0000000,3,6.03,,,-73.981085,40.733658,-73.963583,40.795237,,,Credit,16.9,0.5,,,5.22,0,22.62
VTS,2009-10-10T16:34:00.0000000,2009-10-10T16:40:00.0000000,1,0.8,,,-73.997822,40.736178,-73.987268,40.744588,,,CASH,4.9,0,,,0,0,4.9
VTS,2009-09-30T23:45:00.0000000,2009-10-01T00:00:00.0000000,1,4.33,,,-73.957293,40.774338,-74.006355,40.744023,,,CASH,12.5,0.5,,,0,0,13
VTS,2009-10-24T20:45:00.0000000,2009-10-24T20:55:00.0000000,5,1.61,,,-73.977505,40.752188,-73.985712,40.762472,,,Credit,7.3,0.5,,,3,0,10.8
CMT,2009-09-30T23:56:39.0000000,2009-10-01T00:06:26.0000000,1,2.7,,,-73.96088,40.761211,-73.991523,40.749356,,0,Cash,8.5,0,,,0,0,8.5
VTS,2009-10-18T21:10:00.0000000,2009-10-18T21:48:00.0000000,5,20.24,,,-73.787615,40.641473,-73.946437,40.777342,,,CASH,45,0,,,0,4.57,49.57
VTS,2009-09-30T23:59:00.0000000,2009-10-01T00:04:00.0000000,3,0.54,,,-73.987495,40.735853,-73.982317,40.731867,,,CASH,4.5,0.5,,,0,0,5
VTS,2009-10-12T09:49:00.0000000,2009-10-12T09:52:00.0000000,5,0.72,,,-73.984088,40.729333,-73.991745,40.735325,,,Credit,4.1,0,,,1,0,5.1
VTS,2009-09-30T23:54:00.0000000,2009-10-01T00:07:00.0000000,2,1.57,,,-73.983095,40.756475,-73.971735,40.757475,,,CASH,8.5,0.5,,,0,0,9
DDS,2009-10-11T18:47:23.0000000,2009-10-11T19:53:09.0000000,1,2.2,,,-73.997032,40.724817,-73.996747,40.742432,,,CASH,8.9,0,,,0,0,8.9
CMT,2009-09-30T23:53:22.0000000,2009-10-01T00:00:05.0000000,2,1.2,,,-73.998404,40.724737,-74.010868,40.716439,,0,Cash,5.7,0,,,0,0,5.7
DDS,2009-10-30T14:42:32.0000000,2009-10-30T15:53:44.0000000,1,19.4,,,-73.776798,40.645656,-73.962944,40.762774,,,CREDIT,45,0,,,9,4.57,58.57
CMT,2009-09-30T23:44:26.0000000,2009-10-01T00:02:41.0000000,1,7.1,,,-73.949174,40.785282,-73.903517,40.855818,,0,Credit,18.5,0,,,4,0,22.5
VTS,2009-10-07T08:09:00.0000000,2009-10-07T08:13:00.0000000,5,0.86,,,-73.973567,40.738057,-73.969578,40.749093,,,CASH,4.5,0,,,0,0,4.5
CMT,2009-09-30T23:59:53.0000000,2009-10-01T00:28:25.0000000,1,7.2,,,-74.008501,40.7158,-74.018979,40.626418,,0,Cash,22.5,0,,,0,4.57,27.07
VTS,2009-10-15T08:09:00.0000000,2009-10-15T08:19:00.0000000,1,1.47,,,-73.979243,40.744117,-73.973275,40.761248,,,CASH,6.9,0,,,0,0,6.9
CMT,2009-09-30T23:55:31.0000000,2009-10-01T00:06:23.0000000,2,1.8,,,-73.983522,40.746146,-73.996284,40.760894,,0,Cash,7.7,0,,,0,0,7.7
DDS,2009-10-26T08:39:56.0000000,2009-10-26T08:52:05.0000000,1,1.3,,,-74.005204,40.718485,-74.005488,40.705839,,,CASH,7.7,0,,,0,0,7.7
CMT,2009-09-30T23:56:03.0000000,2009-10-01T00:08:31.0000000,1,2.9,,,-74.003014,40.725073,-73.977555,40.754636,,0,Cash,9.7,0,,,0,0,9.7
CMT,2009-10-19T14:49:00.0000000,2009-10-19T15:02:44.0000000,1,6.7,,,-74.015977,40.715247,-73.969503,40.757411,,0,Credit,16.9,0,0,,4,0,20.9
CMT,2009-09-30T23:58:28.0000000,2009-10-01T00:17:11.0000000,1,5.6,,,-73.919044,40.743341,-73.90811,40.773422,,0,Credit,16.1,0,,,4.15,0,20.25
CMT,2009-10-10T11:00:08.0000000,2009-10-10T11:03:55.0000000,1,0.9,,,-73.961118,40.7751,-73.96946,40.763662,,0,Cash,4.9,0,,,0,0,4.9
VTS,2009-09-30T23:23:00.0000000,2009-10-01T00:00:00.0000000,1,10.27,,,-73.988965,40.738742,-74.028313,40.623012,,,Credit,28.1,0.5,,,5.72,0,34.32
CMT,2009-10-12T09:34:12.0000000,2009-10-12T10:01:52.0000000,1,10.1,,,-73.977307,40.774497,-73.86266,40.76839,,0,Credit,26.5,0,,,4.66,4.57,35.73
VTS,2009-09-30T23:40:00.0000000,2009-10-01T00:03:00.0000000,1,7.72,,,-73.871027,40.773788,-73.987482,40.768787,,,CASH,26.5,0.5,,,0,0,27
CMT,2009-10-01T11:32:41.0000000,2009-10-01T11:40:34.0000000,1,1.3,,,-73.994827,40.740026,-73.982104,40.757313,,0,Credit,6.5,0,,,1.3,0,7.8
VTS,2009-09-30T23:45:00.0000000,2009-10-01T00:11:00.0000000,5,5.67,,,-73.980148,40.750497,-73.94948,40.714538,,,CASH,17.7,0.5,,,0,0,18.2
DDS,2009-10-11T12:27:32.0000000,2009-10-11T12:38:29.0000000,1,3.5,,,-73.977015,40.779923,-73.938686,40.804731,,,CASH,10.1,0,,,0,0,10.1
CMT,2009-09-30T23:51:26.0000000,2009-10-01T00:02:50.0000000,2,3.6,,,-74.005343,40.719654,-73.989557,40.762637,,0,Credit,10.5,0,,,2,0,12.5
VTS,2009-10-01T13:47:00.0000000,2009-10-01T13:52:00.0000000,1,1.05,,,0,0,0,0,,,CASH,4.9,0,,,0,0,4.9
