vendorID,tpepPickupDateTime,tpepDropoffDateTime,passengerCount,tripDistance,puLocationId,doLocationId,startLon,startLat,endLon,endLat,rateCodeId,storeAndFwdFlag,paymentType,fareAmount,extra,mtaTax,improvementSurcharge,tipAmount,tollsAmount,totalAmount
2,2002-12-31T22:34:10.0000000,2002-12-31T23:02:25.0000000,2,7.26,13,234,,,,,1,N,2,27,0,0.5,0.3,0,0,27.8
2,2002-12-31T23:39:14.0000000,2002-12-31T23:50:51.0000000,1,1.63,239,24,,,,,1,N,2,7,0,0.5,0.3,0,0,7.8
VTS,2009-09-30T23:56:00.0000000,2009-10-01T00:05:00.0000000,4,1.28,,,-73.99805,40.74056,-73.992063,40.72725,,,CASH,6.5,0.5,,,0,0,7
VTS,2009-09-30T23:59:00.0000000,2009-10-01T00:05:00.0000000,4,1.58,,,-73.988695,40.758232,-73.982417,40.773765,,,CASH,6.5,0.5,,,0,0,7
VTS,2009-09-30T23:56:00.0000000,2009-10-01T00:15:00.0000000,1,4.88,,,-73.977893,40.749483,-74.005038,40.740857,,,CASH,14.5,0.5,,,0,0,15
VTS,2009-09-30T23:52:00.0000000,2009-10-01T00:01:00.0000000,1,1.68,,,-73.967218,40.756092,-73.98827,40.748662,,,CASH,7.3,0.5,,,0,0,7.8
CMT,2009-09-30T23:48:43.0000000,2009-10-01T00:03:57.0000000,1,1.3,,,-73.999798,40.738067,-73.977226,40.736912,,0,Cash,5.3,0,,,0,0,5.3
CMT,2009-09-30T23:52:55.0000000,2009-10-01T00:03:15.0000000,1,2.7,,,-73.957331,40.784143,-73.9819,40.748748,,0,Cash,9.3,0,,,0,0,9.3
CMT,2009-09-30T23:55:30.0000000,2009-10-01T00:05:29.0000000,1,2.5,,,-73.985386,40.757484,-73.977271,40.787784,,0,Credit,8.9,0,,,1.5,0,10.4
VTS,2009-09-30T23:49:00.0000000,2009-10-01T00:09:00.0000000,4,4.27,,,-73.994543,40.749823,-73.952302,40.772423,,,CASH,14.5,0.5,,,0,0,15
VTS,2009-09-30T23:48:00.0000000,2009-10-01T00:23:00.0000000,5,8.42,,,-73.977817,40.762812,-73.979163,40.664892,,,CASH,24.5,0.5,,,0,0,25
CMT,2009-09-30T23:52:33.0000000,2009-10-01T00:12:17.0000000,2,7.8,,,-73.990669,40.729765,-73.898605,40.746159,,0,Cash,20.9,0,,,0,0,20.9
CMT,2009-09-30T23:54:00.0000000,2009-10-01T00:11:16.0000000,1,6.4,,,-73.995525,40.724566,-74.011117,40.653765,,0,Credit,17.3,0,,,3.56,0,20.86
VTS,2009-09-30T23:50:00.0000000,2009-10-01T00:12:00.0000000,2,11.68,,,-74.01394,40.704128,-73.937512,40.824027,,,Credit,26.9,0.5,,,5,0,32.4
VTS,2009-10-15T14:10:00.0000000,2009-10-15T14:14:00.0000000,1,0.66,,,-73.990607,40.737563,-73.993333,40.742922,,,Credit,4.1,0,,,1,0,5.1
CMT,2009-09-30T23:58:24.0000000,2009-10-01T00:02:53.0000000,1,1.2,,,-73.944334,40.746427,-73.954951,40.733996,,0,Credit,5.3,0,,,1.16,0,6.46
VTS,2009-10-23T17:22:00.0000000,2009-10-23T17:25:00.0000000,1,0.27,,,-73.958225,40.78161,-73.956412,40.779753,,,CASH,3.3,1,,,0,0,4.3
CMT,2009-09-30T23:47:54.0000000,2009-10-01T00:00:51.0000000,1,3.4,,,-74.010395,40.711826,-73.983089,40.754929,,0,Cash,10.5,0,,,0,0,10.5
CMT,2009-10-16T18:04:38.0000000,2009-10-16T18:08:21.0000000,1,0.4,,,-73.968134,40.800492,-73.963819,40.802928,,0,Cash,4.1,0,,,0,0,4.1
